rf,ef,ab,gb
0.435000,0.445000,0.500026,0.500459
0.000000,0.000000,0.493873,0.009407
0.015000,0.020000,0.494784,0.014468
0.000000,0.005000,0.493407,0.007211
0.000000,0.005000,0.494591,0.014732
0.000000,0.000000,0.493613,0.007843
0.040000,0.115000,0.496367,0.062162
0.020000,0.010000,0.495417,0.027732
0.080000,0.070000,0.496867,0.073829
0.025000,0.045000,0.493222,0.007703
0.250000,0.270000,0.495324,0.045165
0.225000,0.195000,0.496309,0.099337
0.005000,0.000000,0.494018,0.010309
0.295000,0.185000,0.498269,0.198473
0.050000,0.030000,0.496011,0.031820
0.000000,0.000000,0.493626,0.008512
0.000000,0.205000,0.494619,0.013017
0.000000,0.000000,0.493380,0.006700
0.010000,0.000000,0.494923,0.014819
0.000000,0.000000,0.493585,0.007232
0.005000,0.005000,0.495391,0.014950
0.310000,0.270000,0.499055,0.363201
0.000000,0.000000,0.494470,0.012179
0.000000,0.000000,0.493649,0.007211
0.120000,0.100000,0.496932,0.093291
0.000000,0.000000,0.493607,0.007571
0.025000,0.085000,0.496503,0.047954
0.000000,0.000000,0.493418,0.007405
0.000000,0.010000,0.494373,0.012082
0.000000,0.000000,0.494021,0.010073
0.000000,0.000000,0.494358,0.014021
0.015000,0.000000,0.494693,0.015318
0.005000,0.045000,0.495600,0.018545
0.050000,0.025000,0.496770,0.041733
0.005000,0.000000,0.493908,0.008530
0.125000,0.010000,0.496977,0.104115
0.025000,0.000000,0.495518,0.019062
0.010000,0.005000,0.493295,0.006819
0.005000,0.010000,0.494133,0.010215
0.000000,0.000000,0.494653,0.016812
0.045000,0.030000,0.496183,0.057855
0.020000,0.050000,0.494298,0.011914
0.025000,0.070000,0.495126,0.023032
0.770000,0.675000,0.500428,0.501843
0.005000,0.025000,0.494924,0.021936
0.190000,0.170000,0.498118,0.223713
0.000000,0.005000,0.494659,0.010551
0.000000,0.000000,0.493312,0.006700
0.020000,0.010000,0.495407,0.014557
0.005000,0.000000,0.494491,0.015036
0.015000,0.005000,0.496012,0.049239
0.010000,0.000000,0.494932,0.013399
0.480000,0.355000,0.498363,0.333347
0.130000,0.055000,0.495118,0.016252
0.205000,0.125000,0.497255,0.090645
0.015000,0.010000,0.494517,0.011195
0.015000,0.020000,0.494071,0.008736
0.065000,0.065000,0.495679,0.031399
0.000000,0.000000,0.493967,0.010534
0.035000,0.005000,0.494938,0.019595
0.020000,0.030000,0.494584,0.012640
0.155000,0.065000,0.497864,0.121076
0.000000,0.000000,0.494786,0.015511
0.010000,0.000000,0.494032,0.010158
0.010000,0.035000,0.495638,0.033180
0.055000,0.010000,0.495979,0.052152
0.025000,0.020000,0.495247,0.019381
0.050000,0.055000,0.495035,0.015014
0.060000,0.005000,0.495799,0.043917
0.010000,0.020000,0.494634,0.014662
0.075000,0.000000,0.496587,0.057200
0.000000,0.000000,0.494936,0.012336
0.030000,0.035000,0.495692,0.032829
0.020000,0.005000,0.493969,0.009762
0.000000,0.000000,0.494308,0.010234
0.000000,0.000000,0.494199,0.010416
0.010000,0.015000,0.493829,0.007460
0.090000,0.045000,0.496705,0.064269
0.050000,0.015000,0.495166,0.024312
0.510000,0.535000,0.499147,0.413264
0.065000,0.045000,0.495682,0.039836
0.035000,0.000000,0.495703,0.025918
0.000000,0.000000,0.494199,0.010966
0.030000,0.015000,0.495200,0.020745
0.000000,0.000000,0.493539,0.005803
0.070000,0.060000,0.497054,0.079545
0.000000,0.000000,0.493681,0.007098
0.055000,0.010000,0.497554,0.106097
0.000000,0.000000,0.495493,0.028345
0.045000,0.005000,0.494995,0.015620
0.010000,0.005000,0.493772,0.009070
0.005000,0.000000,0.494992,0.020057
0.030000,0.000000,0.496577,0.071018
0.000000,0.000000,0.493980,0.009180
0.135000,0.115000,0.496997,0.078568
0.005000,0.000000,0.494955,0.015073
0.000000,0.000000,0.493514,0.007211
0.005000,0.005000,0.494870,0.016630
0.000000,0.010000,0.493921,0.008689
0.020000,0.010000,0.494797,0.016190
0.005000,0.005000,0.494525,0.013036
0.005000,0.000000,0.494063,0.010203
0.075000,0.080000,0.496935,0.072300
0.000000,0.000000,0.493967,0.010469
0.035000,0.030000,0.496699,0.061437
0.215000,0.155000,0.496657,0.068262
0.490000,0.325000,0.500703,0.448338
0.355000,0.480000,0.497757,0.199271
0.005000,0.020000,0.494371,0.012832
0.010000,0.015000,0.494232,0.011664
0.035000,0.005000,0.494403,0.012620
0.005000,0.000000,0.493155,0.006091
0.245000,0.275000,0.498116,0.171163
0.350000,0.070000,0.496181,0.045749
0.000000,0.000000,0.493681,0.007098
0.000000,0.000000,0.494570,0.013665
0.000000,0.000000,0.494967,0.017018
0.030000,0.030000,0.495866,0.052517
0.010000,0.010000,0.494587,0.012594
0.000000,0.000000,0.493709,0.007744
0.005000,0.000000,0.495231,0.024788
0.045000,0.025000,0.497005,0.082974
0.005000,0.010000,0.494473,0.011663
0.015000,0.015000,0.496245,0.036755
0.000000,0.000000,0.493390,0.007100
0.025000,0.010000,0.495118,0.019105
0.275000,0.270000,0.498654,0.300810
0.000000,0.000000,0.495228,0.027084
0.360000,0.265000,0.498341,0.238655
0.000000,0.000000,0.493589,0.007355
0.185000,0.275000,0.496732,0.081458
0.000000,0.000000,0.493798,0.006073
0.000000,0.000000,0.494606,0.011335
0.070000,0.015000,0.495557,0.037983
0.120000,0.140000,0.497441,0.147055
0.020000,0.050000,0.495710,0.044174
0.310000,0.255000,0.497204,0.112511
0.005000,0.005000,0.494013,0.013142
0.000000,0.020000,0.494822,0.019306
0.000000,0.000000,0.493528,0.007610
0.025000,0.020000,0.496579,0.066346
0.060000,0.035000,0.496757,0.072107
0.000000,0.005000,0.494678,0.015866
0.055000,0.080000,0.497147,0.070175
0.030000,0.010000,0.496370,0.050195
0.230000,0.215000,0.498067,0.180961
0.000000,0.000000,0.493699,0.008799
0.010000,0.000000,0.495285,0.031144
0.055000,0.030000,0.496226,0.047873
0.000000,0.000000,0.493813,0.008913
0.015000,0.010000,0.494617,0.014236
0.000000,0.000000,0.493366,0.007963
0.015000,0.005000,0.495385,0.028255
0.000000,0.000000,0.494348,0.016700
0.015000,0.000000,0.494162,0.010070
0.045000,0.020000,0.496549,0.063304
0.005000,0.005000,0.495674,0.029185
0.580000,0.630000,0.501277,0.760352
0.055000,0.035000,0.495960,0.037360
0.095000,0.080000,0.496882,0.055994
0.000000,0.000000,0.494823,0.015186
0.030000,0.020000,0.494087,0.009234
0.000000,0.000000,0.494366,0.011830
0.000000,0.030000,0.494160,0.012795
0.030000,0.085000,0.495915,0.034503
0.095000,0.015000,0.496722,0.064640
0.055000,0.040000,0.496689,0.074909
0.345000,0.225000,0.499082,0.216592
0.005000,0.000000,0.493699,0.007811
0.010000,0.035000,0.495927,0.035705
0.005000,0.000000,0.494488,0.013327
0.000000,0.000000,0.493668,0.007238
0.025000,0.090000,0.495335,0.024252
0.005000,0.000000,0.494960,0.012312
0.020000,0.005000,0.495625,0.030972
0.000000,0.000000,0.493533,0.006873
0.000000,0.000000,0.493928,0.008593
0.025000,0.170000,0.496641,0.057206
0.005000,0.000000,0.493860,0.010159
0.020000,0.005000,0.493968,0.010850
0.085000,0.130000,0.494064,0.010653
0.280000,0.200000,0.499903,0.428014
0.025000,0.010000,0.495429,0.023482
0.000000,0.000000,0.493499,0.007098
0.635669,0.666667,0.499737,0.213612
0.320000,0.235000,0.498574,0.288354
0.005000,0.000000,0.494329,0.010837
0.635000,0.635000,0.500136,0.483119
0.040000,0.020000,0.494592,0.018470
0.290000,0.190000,0.498595,0.252073
0.050000,0.065000,0.495736,0.038059
0.065000,0.060000,0.496243,0.047308
0.110000,0.110000,0.497147,0.086155
0.345000,0.585000,0.498526,0.279935
0.000000,0.010000,0.493979,0.008846
0.020000,0.000000,0.494111,0.008683
0.085000,0.005000,0.496972,0.093822
0.185000,0.050000,0.496323,0.089612
0.015000,0.010000,0.494582,0.011949
0.010000,0.025000,0.494463,0.012122
0.000000,0.010000,0.493797,0.009993
0.150000,0.140000,0.496517,0.062195
0.000000,0.000000,0.493878,0.009045
0.015000,0.000000,0.495068,0.013019
0.015000,0.000000,0.494285,0.009032
0.025000,0.020000,0.495179,0.018090
0.000000,0.000000,0.494130,0.009373
0.010000,0.070000,0.494628,0.014093
0.005000,0.005000,0.494990,0.015422
0.010000,0.020000,0.494360,0.010998
0.050000,0.005000,0.495317,0.028428
0.025000,0.050000,0.495164,0.027202
0.025000,0.015000,0.496222,0.051589
0.000000,0.005000,0.494925,0.014844
0.545000,0.550000,0.497605,0.203575
0.085000,0.025000,0.495496,0.025095
0.005000,0.000000,0.494602,0.012493
0.000000,0.000000,0.493038,0.005854
0.025000,0.000000,0.494721,0.014964
0.020000,0.000000,0.494876,0.014836
0.055000,0.045000,0.495911,0.041907
0.085000,0.045000,0.494868,0.019501
0.010000,0.015000,0.495228,0.021961
0.415000,0.315000,0.498768,0.398770
0.085000,0.150000,0.497290,0.110762
0.025000,0.000000,0.495091,0.017271
0.005000,0.000000,0.494126,0.010074
0.080000,0.055000,0.495797,0.061313
0.045000,0.025000,0.496550,0.041114
0.000000,0.000000,0.492911,0.005941
0.085000,0.055000,0.497548,0.120405
0.010000,0.000000,0.494063,0.010781
0.000000,0.000000,0.493582,0.007727
0.655000,0.570000,0.502161,0.679857
0.000000,0.005000,0.493542,0.007126
0.010000,0.000000,0.495891,0.032774
0.375000,0.185000,0.498640,0.223114
0.005000,0.015000,0.494985,0.022507
0.000000,0.010000,0.494180,0.011216
0.000000,0.000000,0.493214,0.007130
0.005000,0.005000,0.494981,0.015161
0.310000,0.270000,0.497270,0.143211
0.020000,0.005000,0.497508,0.096455
0.000000,0.005000,0.495724,0.023824
0.075000,0.010000,0.496650,0.071229
0.000000,0.000000,0.494419,0.012904
0.500000,0.451667,0.498664,0.379051
0.000000,0.000000,0.494598,0.011579
0.160000,0.060000,0.497224,0.077950
0.020000,0.000000,0.494517,0.011459
0.000000,0.005000,0.494156,0.010115
0.015000,0.000000,0.494435,0.011187
0.005000,0.000000,0.493815,0.006910
0.020000,0.120000,0.495315,0.025196
0.005000,0.000000,0.493872,0.008355
0.005000,0.005000,0.494906,0.016271
0.015000,0.025000,0.495044,0.018472
0.000000,0.000000,0.493951,0.010312
0.010000,0.050000,0.495134,0.019443
0.070000,0.205000,0.495583,0.037855
0.150000,0.255000,0.496547,0.089397
0.085000,0.000000,0.494038,0.007795
0.005000,0.000000,0.493035,0.005929
0.005000,0.000000,0.493013,0.005980
0.035000,0.005000,0.494794,0.012708
0.020000,0.010000,0.494839,0.019898
0.030000,0.025000,0.494552,0.013355
0.000000,0.000000,0.493232,0.006524
0.000000,0.000000,0.493717,0.008275
0.020000,0.005000,0.494898,0.018218
0.110000,0.055000,0.497567,0.103400
0.005000,0.000000,0.493888,0.007665
0.000000,0.000000,0.493089,0.006325
0.070000,0.030000,0.496680,0.063026
0.170000,0.185000,0.497770,0.130171
0.015000,0.000000,0.494241,0.009088
0.010000,0.010000,0.495213,0.026922
0.000000,0.000000,0.493397,0.007030
0.010000,0.000000,0.493113,0.006203
0.010000,0.005000,0.495315,0.017960
0.000000,0.000000,0.492993,0.005778
0.745000,0.815000,0.502150,0.812855
0.855000,0.840000,0.499769,0.713182
0.010000,0.000000,0.495340,0.018201
0.055000,0.110000,0.496788,0.067904
0.030000,0.055000,0.495187,0.018992
0.000000,0.040000,0.494470,0.016960
0.010000,0.000000,0.495424,0.023144
0.025000,0.015000,0.496053,0.042586
0.040000,0.000000,0.497340,0.110954
0.010000,0.035000,0.494355,0.012859
0.000000,0.005000,0.493770,0.008593
0.100000,0.175000,0.495532,0.160057
0.160000,0.040000,0.496779,0.088140
0.015000,0.010000,0.495968,0.046038
0.005000,0.005000,0.493759,0.011415
0.000000,0.005000,0.494988,0.017347
0.000000,0.005000,0.493923,0.010948
0.000000,0.000000,0.494044,0.010834
0.025000,0.015000,0.495793,0.040854
0.000000,0.000000,0.493376,0.006898
0.000000,0.000000,0.493569,0.007902
0.000000,0.000000,0.494365,0.009083
0.005000,0.010000,0.495445,0.025715
0.010000,0.005000,0.494709,0.016032
0.120000,0.015000,0.497023,0.085143
0.015000,0.005000,0.494351,0.011000
0.255000,0.260000,0.498674,0.315268
0.000000,0.000000,0.493554,0.007074
0.000000,0.020000,0.494407,0.011406
0.000000,0.000000,0.494932,0.015932
0.065000,0.015000,0.495454,0.026321
0.035000,0.035000,0.495840,0.033389
0.005000,0.015000,0.496481,0.061637
0.045000,0.040000,0.497172,0.101957
0.005000,0.000000,0.493724,0.008598
0.045000,0.005000,0.496168,0.035599
0.005000,0.000000,0.494629,0.012468
0.005000,0.010000,0.495502,0.034173
0.065000,0.025000,0.495668,0.035288
0.000000,0.000000,0.493309,0.006717
0.040000,0.025000,0.495840,0.031376
0.225000,0.335000,0.499170,0.363999
0.020000,0.150000,0.494267,0.010508
0.050000,0.095000,0.497262,0.081982
0.070000,0.050000,0.496379,0.053200
0.000000,0.000000,0.493200,0.008688
0.015000,0.010000,0.495778,0.027093
0.000000,0.000000,0.493571,0.007837
0.135000,0.025000,0.497125,0.095583
0.015000,0.000000,0.494534,0.011586
0.050000,0.050000,0.496391,0.061415
0.015000,0.005000,0.495824,0.020580
0.015000,0.035000,0.496010,0.055087
0.000000,0.000000,0.494660,0.012996
0.085000,0.025000,0.496623,0.075814
0.000000,0.000000,0.494316,0.012186
0.010000,0.000000,0.494837,0.014724
0.085000,0.120000,0.496555,0.055643
0.000000,0.000000,0.494393,0.012391
0.040000,0.020000,0.496279,0.067332
0.055000,0.195000,0.496786,0.048628
0.000000,0.000000,0.493199,0.006885
0.000000,0.000000,0.494430,0.010793
0.035000,0.005000,0.494563,0.012483
0.000000,0.005000,0.493751,0.008593
0.205000,0.300000,0.497743,0.201243
0.000000,0.000000,0.493521,0.007098
0.005000,0.000000,0.494544,0.011301
0.390000,0.300000,0.497725,0.340448
0.050000,0.060000,0.496343,0.045008
0.005000,0.010000,0.495434,0.017733
0.005000,0.000000,0.494375,0.011887
0.070000,0.380000,0.494311,0.008896
0.000000,0.000000,0.494684,0.013069
0.010000,0.025000,0.495046,0.021833
0.005000,0.000000,0.494111,0.011457
0.110000,0.180000,0.496880,0.067929
0.000000,0.000000,0.493924,0.006956
0.060000,0.025000,0.496125,0.040998
0.110000,0.035000,0.496113,0.044848
0.000000,0.015000,0.493286,0.007098
0.265000,0.275000,0.498582,0.284777
0.005000,0.000000,0.496053,0.041497
0.040000,0.085000,0.496536,0.070137
0.195000,0.070000,0.497012,0.131428
0.000000,0.000000,0.496884,0.049748
0.010000,0.010000,0.493989,0.009848
0.015000,0.040000,0.495689,0.021873
0.460000,0.445000,0.499621,0.400373
0.000000,0.000000,0.494044,0.012015
0.265000,0.240000,0.496955,0.186434
0.000000,0.005000,0.495410,0.017189
0.000000,0.000000,0.494903,0.017076
0.000000,0.000000,0.494529,0.012858
0.070000,0.030000,0.497225,0.077446
0.015000,0.000000,0.494571,0.009510
0.020000,0.300000,0.494475,0.011965
0.030000,0.175000,0.494378,0.011476
0.055000,0.025000,0.495913,0.034605
0.010000,0.010000,0.494908,0.013786
0.000000,0.010000,0.493784,0.007462
0.180000,0.180000,0.498532,0.223145
0.010000,0.015000,0.496819,0.056709
0.000000,0.000000,0.492845,0.006293
0.000000,0.000000,0.493597,0.007955
0.015000,0.005000,0.494749,0.011714
0.010000,0.000000,0.495165,0.015587
0.180000,0.225000,0.499113,0.190980
0.050000,0.010000,0.496247,0.050892
0.030000,0.010000,0.494855,0.024874
0.010000,0.005000,0.494787,0.018492
0.355000,0.655000,0.499475,0.291618
0.000000,0.005000,0.494156,0.009497
0.010000,0.065000,0.494519,0.010528
0.000000,0.000000,0.493303,0.007846
0.020000,0.010000,0.494565,0.013319
0.000000,0.005000,0.493489,0.006827
0.000000,0.000000,0.494467,0.013440
0.070000,0.050000,0.496944,0.075721
0.025000,0.040000,0.495944,0.036329
0.035000,0.010000,0.496503,0.053243
0.460000,0.355000,0.500016,0.557553
0.125000,0.115000,0.497384,0.120408
0.005000,0.000000,0.494092,0.009286
0.330000,0.260000,0.497314,0.126089
0.015000,0.005000,0.495316,0.016204
0.005000,0.000000,0.493690,0.008627
0.000000,0.000000,0.493958,0.006700
0.000000,0.035000,0.494371,0.011855
0.000000,0.000000,0.493465,0.005484
0.010000,0.000000,0.494541,0.012412
0.000000,0.000000,0.493442,0.006873
0.020000,0.015000,0.494439,0.012131
0.030000,0.050000,0.496936,0.062187
0.015000,0.000000,0.495249,0.020494
0.015000,0.000000,0.493772,0.007065
0.050000,0.115000,0.495157,0.016113
0.035000,0.015000,0.495729,0.026254
0.040000,0.070000,0.496761,0.064517
0.050000,0.015000,0.497560,0.109330
0.025000,0.005000,0.494966,0.017671
0.025000,0.005000,0.493507,0.008706
0.050000,0.025000,0.496068,0.042550
0.020000,0.065000,0.493315,0.006437
0.000000,0.000000,0.493748,0.007238
0.225000,0.085000,0.497942,0.154393
0.210000,0.240000,0.498906,0.285039
0.135000,0.155000,0.498447,0.126346
0.015000,0.000000,0.494535,0.011800
0.000000,0.000000,0.494158,0.010221
0.050000,0.050000,0.496885,0.086479
0.005000,0.005000,0.495236,0.019029
0.020000,0.015000,0.495171,0.020973
0.075000,0.005000,0.495137,0.015503
0.240000,0.190000,0.497044,0.097473
0.010000,0.015000,0.495737,0.032061
0.000000,0.000000,0.492847,0.005053
0.010000,0.005000,0.494213,0.010654
0.045000,0.070000,0.497160,0.072516
0.040000,0.015000,0.495844,0.045385
0.085000,0.010000,0.497320,0.111520
0.000000,0.000000,0.494573,0.011871
0.000000,0.000000,0.493436,0.007533
0.010000,0.005000,0.495594,0.024056
0.335000,0.440000,0.498909,0.384000
0.170000,0.260000,0.496047,0.047917
0.115000,0.190000,0.497143,0.111282
0.000000,0.020000,0.495369,0.015759
0.005000,0.005000,0.494544,0.014648
0.105000,0.140000,0.496895,0.056099
0.045000,0.035000,0.496559,0.059140
0.000000,0.000000,0.493733,0.008891
0.098260,0.078333,0.495687,0.034833
0.000000,0.000000,0.494201,0.011068
0.080000,0.115000,0.497601,0.096304
0.005000,0.000000,0.493810,0.008207
0.000000,0.020000,0.493859,0.009860
0.015000,0.000000,0.494719,0.014229
0.000000,0.000000,0.493768,0.008241
0.015000,0.005000,0.494977,0.019214
0.005000,0.015000,0.495821,0.039201
0.000000,0.000000,0.493657,0.007915
0.015000,0.040000,0.494412,0.014645
0.020000,0.025000,0.496678,0.069670
0.025000,0.000000,0.494464,0.012051
0.005000,0.005000,0.494774,0.014690
0.015000,0.005000,0.497364,0.148691
0.015000,0.000000,0.494143,0.011449
0.010000,0.000000,0.494906,0.018251
0.010000,0.010000,0.494923,0.014510
0.270000,0.295000,0.497672,0.153391
0.025000,0.000000,0.495271,0.020902
0.000000,0.000000,0.494713,0.018729
0.010000,0.020000,0.495698,0.029989
0.020000,0.040000,0.495650,0.022576
0.000000,0.000000,0.493972,0.010808
0.000000,0.000000,0.494598,0.012045
0.030000,0.005000,0.495492,0.031543
0.000000,0.015000,0.494949,0.013497
0.005000,0.005000,0.494271,0.011830
0.080000,0.040000,0.497259,0.103300
0.000000,0.005000,0.493837,0.009413
0.090000,0.210000,0.495301,0.056973
0.015000,0.015000,0.495058,0.023264
0.390000,0.335000,0.497529,0.232153
0.025000,0.010000,0.495085,0.018431
0.045000,0.055000,0.496310,0.049286
0.005000,0.000000,0.493848,0.007232
0.030000,0.000000,0.494125,0.008419
0.020000,0.080000,0.495699,0.031453
0.035000,0.000000,0.494965,0.015956
0.000000,0.000000,0.493193,0.006694
0.150000,0.130000,0.495569,0.045691
0.010000,0.000000,0.493680,0.010448
0.005000,0.000000,0.494845,0.014589
0.040000,0.005000,0.495603,0.022099
0.000000,0.000000,0.493572,0.008891
0.050000,0.020000,0.496123,0.038551
0.025000,0.095000,0.494864,0.018392
0.000000,0.005000,0.495462,0.037029
0.165000,0.050000,0.496514,0.072183
0.475000,0.495000,0.501258,0.627909
0.150000,0.050000,0.497046,0.080889
0.005000,0.005000,0.494456,0.013095
0.000000,0.000000,0.494383,0.010030
0.295000,0.205000,0.497472,0.143550
0.000000,0.010000,0.493510,0.009176
0.035000,0.005000,0.495140,0.023064
0.000000,0.000000,0.493271,0.006615
0.090000,0.030000,0.496338,0.038413
0.070000,0.075000,0.496411,0.076958
0.000000,0.000000,0.493561,0.007098
0.000000,0.000000,0.494336,0.010490
0.010000,0.000000,0.494916,0.020262
0.085000,0.075000,0.496282,0.064967
0.010000,0.000000,0.493332,0.006376
0.000000,0.000000,0.494151,0.010482
0.385000,0.365000,0.499193,0.295675
0.115000,0.120000,0.497561,0.108170
0.495000,0.590000,0.501542,0.556706
0.075000,0.025000,0.497172,0.087162
0.205000,0.495000,0.498358,0.250885
0.010000,0.010000,0.494420,0.010540
0.135000,0.135000,0.497196,0.104429
0.000000,0.005000,0.493556,0.008359
0.000000,0.015000,0.494712,0.015038
0.425000,0.720000,0.499458,0.309103
0.005000,0.000000,0.494008,0.009929
0.035000,0.020000,0.495968,0.046426
0.425000,0.425000,0.500643,0.548514
0.015000,0.000000,0.494409,0.012337
0.010000,0.000000,0.495459,0.019366
0.065000,0.035000,0.494576,0.014372
0.005000,0.010000,0.494446,0.010764
0.140000,0.285000,0.496963,0.062974
0.135000,0.055000,0.497556,0.144266
0.040000,0.020000,0.495746,0.032069
0.350000,0.550000,0.497438,0.176626
0.180000,0.030000,0.497041,0.115448
0.110000,0.140000,0.497408,0.107039
0.535000,0.565000,0.499905,0.504467
0.000000,0.000000,0.492729,0.005854
0.015000,0.005000,0.494933,0.016418
0.145000,0.030000,0.496979,0.076249
0.505000,0.440000,0.499090,0.368025
0.010000,0.025000,0.495541,0.037760
0.000000,0.000000,0.494088,0.009022
0.095000,0.220000,0.497014,0.085840
0.045000,0.000000,0.495638,0.032494
0.000000,0.005000,0.493506,0.006757
0.500000,0.430000,0.499610,0.466829
0.125000,0.140000,0.497768,0.163137
0.025000,0.080000,0.495207,0.026557
0.015000,0.015000,0.495373,0.030403
0.010000,0.040000,0.495630,0.030185
0.085000,0.170000,0.498114,0.150020
0.030000,0.025000,0.496028,0.038592
0.005000,0.000000,0.494343,0.012456
0.040000,0.035000,0.496176,0.049121
0.005000,0.095000,0.494927,0.017468
0.045000,0.035000,0.496798,0.096087
0.000000,0.000000,0.493123,0.006964
0.010000,0.000000,0.493869,0.009133
0.015000,0.000000,0.494401,0.009035
0.055000,0.000000,0.497024,0.089946
0.005000,0.010000,0.495230,0.019933
0.015000,0.010000,0.495717,0.030495
0.275000,0.160000,0.500971,0.541149
0.020000,0.000000,0.495753,0.030333
0.060000,0.055000,0.495130,0.023856
0.025000,0.055000,0.495203,0.028256
0.010000,0.010000,0.494433,0.013555
0.000000,0.000000,0.493337,0.006700
0.060000,0.005000,0.495980,0.036194
