rf,ef,ab,gb,Probability
0.01,0,0.495891,0.032774,0.044920698
0.375,0.185,0.49864,0.223114,0.20652532
0.005,0.015,0.494985,0.022507,0.022172958
0,0.01,0.49418,0.011216,0.013751739
0,0,0.493214,0.00713,0.005861538
0.005,0.005,0.494981,0.015161,0.016724367
0.31,0.27,0.49727,0.143211,0.219563792
0.02,0.005,0.497508,0.096455,0.065965422
0,0.005,0.495724,0.023824,0.020352545
0.075,0.01,0.49665,0.071229,0.06602359
0,0,0.494419,0.012904,0.011075966
0.5,0.451667,0.498664,0.379051,0.388881851
0,0,0.494598,0.011579,0.012324337
0.16,0.06,0.497224,0.07795,0.095329847
0.02,0,0.494517,0.011459,0.008838656
0,0.005,0.494156,0.010115,0.009785843
0.015,0,0.494435,0.011187,0.018058363
0.005,0,0.493815,0.00691,0.00661347
0.02,0.12,0.495315,0.025196,0.018248336
0.005,0,0.493872,0.008355,0.007676817
0.005,0.005,0.494906,0.016271,0.013232352
0.015,0.025,0.495044,0.018472,0.016822803
0,0,0.493951,0.010312,0.009623152
0.01,0.05,0.495134,0.019443,0.022062158
0.07,0.205,0.495583,0.037855,0.054076479
0.15,0.255,0.496547,0.089397,0.146600096
0.085,0,0.494038,0.007795,0.011080816
0.005,0,0.493035,0.005929,0.00468144
0.005,0,0.493013,0.00598,0.004386629
0.035,0.005,0.494794,0.012708,0.023683005
0.02,0.01,0.494839,0.019898,0.028453875
0.03,0.025,0.494552,0.013355,0.014973275
0,0,0.493232,0.006524,0.003577232
0,0,0.493717,0.008275,0.008200699
0.02,0.005,0.494898,0.018218,0.014926859
0.11,0.055,0.497567,0.1034,0.092049976
0.005,0,0.493888,0.007665,0.013095976
0,0,0.493089,0.006325,0.004481174
0.07,0.03,0.49668,0.063026,0.08945007
0.17,0.185,0.49777,0.130171,0.111555083
0.015,0,0.494241,0.009088,0.006557982
0.01,0.01,0.495213,0.026922,0.02250329
0,0,0.493397,0.00703,0.009382511
0.01,0,0.493113,0.006203,0.007352375
0.01,0.005,0.495315,0.01796,0.018950676
0,0,0.492993,0.005778,0.00415558
0.745,0.815,0.50215,0.812855,0.680778947
0.855,0.84,0.499769,0.713182,0.680633333
0.01,0,0.49534,0.018201,0.019061014
0.055,0.11,0.496788,0.067904,0.079178671
0.03,0.055,0.495187,0.018992,0.024992036
0,0.04,0.49447,0.01696,0.016976428
0.01,0,0.495424,0.023144,0.018866599
0.025,0.015,0.496053,0.042586,0.029428893
0.04,0,0.49734,0.110954,0.082501619
0.01,0.035,0.494355,0.012859,0.017534345
0,0.005,0.49377,0.008593,0.007826967
0.1,0.175,0.495532,0.160057,0.203056244
0.16,0.04,0.496779,0.08814,0.098908841
0.015,0.01,0.495968,0.046038,0.036868277
0.005,0.005,0.493759,0.011415,0.007279122
0,0.005,0.494988,0.017347,0.023259024
0,0.005,0.493923,0.010948,0.007756842
0,0,0.494044,0.010834,0.007351207
0.025,0.015,0.495793,0.040854,0.025629882
0,0,0.493376,0.006898,0.009810914
0,0,0.493569,0.007902,0.00784969
0,0,0.494365,0.009083,0.008870024
0.005,0.01,0.495445,0.025715,0.064320958
0.01,0.005,0.494709,0.016032,0.014324136
0.12,0.015,0.497023,0.085143,0.116896155
0.015,0.005,0.494351,0.011,0.011121642
0.255,0.26,0.498674,0.315268,0.25388728
0,0,0.493554,0.007074,0.008289717
0,0.02,0.494407,0.011406,0.014087965
0,0,0.494932,0.015932,0.013866421
0.065,0.015,0.495454,0.026321,0.053495365
0.035,0.035,0.49584,0.033389,0.03302013
0.005,0.015,0.496481,0.061637,0.050163142
0.045,0.04,0.497172,0.101957,0.063032771
0.005,0,0.493724,0.008598,0.008648135
0.045,0.005,0.496168,0.035599,0.031126916
0.005,0,0.494629,0.012468,0.016611596
0.005,0.01,0.495502,0.034173,0.033329987
0.065,0.025,0.495668,0.035288,0.044693792
0,0,0.493309,0.006717,0.009087966
0.04,0.025,0.49584,0.031376,0.035892794
0.225,0.335,0.49917,0.363999,0.235126424
0.02,0.15,0.494267,0.010508,0.007800067
0.05,0.095,0.497262,0.081982,0.066756601
0.07,0.05,0.496379,0.0532,0.036931877
0,0,0.4932,0.008688,0.007237769
0.015,0.01,0.495778,0.027093,0.037308284
0,0,0.493571,0.007837,0.01043779
0.135,0.025,0.497125,0.095583,0.085905204
0.015,0,0.494534,0.011586,0.020347693
0.05,0.05,0.496391,0.061415,0.060799522
0.015,0.005,0.495824,0.02058,0.021239053
0.015,0.035,0.49601,0.055087,0.049921159
0,0,0.49466,0.012996,0.01641764
0.085,0.025,0.496623,0.075814,0.059820852
0,0,0.494316,0.012186,0.012987972
0.01,0,0.494837,0.014724,0.014081786
0.085,0.12,0.496555,0.055643,0.06451401
0,0,0.494393,0.012391,0.012431065
0.04,0.02,0.496279,0.067332,0.068162857
0.055,0.195,0.496786,0.048628,0.033194785
0,0,0.493199,0.006885,0.011888631
0,0,0.49443,0.010793,0.00696646
0.035,0.005,0.494563,0.012483,0.019501726
0,0.005,0.493751,0.008593,0.007969729
0.205,0.3,0.497743,0.201243,0.189289703
0,0,0.493521,0.007098,0.007556238
0.005,0,0.494544,0.011301,0.009134695
0.39,0.3,0.497725,0.340448,0.341262496
0.05,0.06,0.496343,0.045008,0.033045558
0.005,0.01,0.495434,0.017733,0.024166661
0.005,0,0.494375,0.011887,0.011823841
0.07,0.38,0.494311,0.008896,0.008100752
0,0,0.494684,0.013069,0.014300206
0.01,0.025,0.495046,0.021833,0.048903975
0.005,0,0.494111,0.011457,0.01114883
0.11,0.18,0.49688,0.067929,0.049399972
0,0,0.493924,0.006956,0.012100506
0.06,0.025,0.496125,0.040998,0.041347715
0.11,0.035,0.496113,0.044848,0.067036392
0,0.015,0.493286,0.007098,0.005072973
0.265,0.275,0.498582,0.284777,0.229013041
0.005,0,0.496053,0.041497,0.051829586
0.04,0.085,0.496536,0.070137,0.055140227
0.195,0.07,0.497012,0.131428,0.233904283
0,0,0.496884,0.049748,0.056539529
0.01,0.01,0.493989,0.009848,0.007988671
0.015,0.04,0.495689,0.021873,0.022746881
0.46,0.445,0.499621,0.400373,0.431902053
0,0,0.494044,0.012015,0.019298534
0.265,0.24,0.496955,0.186434,0.262538835
0,0.005,0.49541,0.017189,0.024938655
0,0,0.494903,0.017076,0.011574687
0,0,0.494529,0.012858,0.012897327
0.07,0.03,0.497225,0.077446,0.051287138
0.015,0,0.494571,0.00951,0.012290941
0.02,0.3,0.494475,0.011965,0.017319148
0.03,0.175,0.494378,0.011476,0.018484654
0.055,0.025,0.495913,0.034605,0.033992864
0.01,0.01,0.494908,0.013786,0.0165806
0,0.01,0.493784,0.007462,0.006161059
0.18,0.18,0.498532,0.223145,0.23574318
0.01,0.015,0.496819,0.056709,0.057047661
0,0,0.492845,0.006293,0.005504118
0,0,0.493597,0.007955,0.004960118
0.015,0.005,0.494749,0.011714,0.009915043
0.01,0,0.495165,0.015587,0.01845736
0.18,0.225,0.499113,0.19098,0.225934302
0.05,0.01,0.496247,0.050892,0.051224135
0.03,0.01,0.494855,0.024874,0.024322082
0.01,0.005,0.494787,0.018492,0.019713294
0.355,0.655,0.499475,0.291618,0.309700559
0,0.005,0.494156,0.009497,0.006536952
0.01,0.065,0.494519,0.010528,0.013546538
0,0,0.493303,0.007846,0.005455398
0.02,0.01,0.494565,0.013319,0.020208903
0,0.005,0.493489,0.006827,0.014450384
0,0,0.494467,0.01344,0.006943526
0.07,0.05,0.496944,0.075721,0.079492255
0.025,0.04,0.495944,0.036329,0.067940517
0.035,0.01,0.496503,0.053243,0.062673136
0.46,0.355,0.500016,0.557553,0.490811098
0.125,0.115,0.497384,0.120408,0.0878397
0.005,0,0.494092,0.009286,0.008148176
0.33,0.26,0.497314,0.126089,0.247912367
0.015,0.005,0.495316,0.016204,0.017240184
0.005,0,0.49369,0.008627,0.009852217
0,0,0.493958,0.0067,0.006779326
0,0.035,0.494371,0.011855,0.014161233
0,0,0.493465,0.005484,0.011195052
0.01,0,0.494541,0.012412,0.013511041
0,0,0.493442,0.006873,0.00657007
0.02,0.015,0.494439,0.012131,0.020772298
0.03,0.05,0.496936,0.062187,0.061086477
0.015,0,0.495249,0.020494,0.016242191
0.015,0,0.493772,0.007065,0.009865491
0.05,0.115,0.495157,0.016113,0.017850648
0.035,0.015,0.495729,0.026254,0.01643469
0.04,0.07,0.496761,0.064517,0.125264806
0.05,0.015,0.49756,0.10933,0.106839712
0.025,0.005,0.494966,0.017671,0.020577658
0.025,0.005,0.493507,0.008706,0.008906887
0.05,0.025,0.496068,0.04255,0.101039068
0.02,0.065,0.493315,0.006437,0.007005185
0,0,0.493748,0.007238,0.004576931
0.225,0.085,0.497942,0.154393,0.168604783
0.21,0.24,0.498906,0.285039,0.234648167
0.135,0.155,0.498447,0.126346,0.182485511
0.015,0,0.494535,0.0118,0.018820965
0,0,0.494158,0.010221,0.007615148
0.05,0.05,0.496885,0.086479,0.148133204
0.005,0.005,0.495236,0.019029,0.012696214
0.02,0.015,0.495171,0.020973,0.021609494
0.075,0.005,0.495137,0.015503,0.018905883
0.24,0.19,0.497044,0.097473,0.084543441
0.01,0.015,0.495737,0.032061,0.073133581
0,0,0.492847,0.005053,0.00666826
0.01,0.005,0.494213,0.010654,0.01347304
0.045,0.07,0.49716,0.072516,0.078024522
0.04,0.015,0.495844,0.045385,0.048051781
0.085,0.01,0.49732,0.11152,0.076567502
0,0,0.494573,0.011871,0.01546101
0,0,0.493436,0.007533,0.006062473
0.01,0.005,0.495594,0.024056,0.018391436
0.335,0.44,0.498909,0.384,0.447131404
0.17,0.26,0.496047,0.047917,0.047171019
0.115,0.19,0.497143,0.111282,0.112357042
0,0.02,0.495369,0.015759,0.014705613
0.005,0.005,0.494544,0.014648,0.010595364
0.105,0.14,0.496895,0.056099,0.066152619
0.045,0.035,0.496559,0.05914,0.071774779
0,0,0.493733,0.008891,0.0062099
0.09826,0.078333,0.495687,0.034833,0.05811368
0,0,0.494201,0.011068,0.009040889
0.08,0.115,0.497601,0.096304,0.125982358
0.005,0,0.49381,0.008207,0.007297398
0,0.02,0.493859,0.00986,0.012002517
0.015,0,0.494719,0.014229,0.013049069
0,0,0.493768,0.008241,0.00703751
0.015,0.005,0.494977,0.019214,0.017817026
0.005,0.015,0.495821,0.039201,0.02757188
0,0,0.493657,0.007915,0.007362034
0.015,0.04,0.494412,0.014645,0.016359044
0.02,0.025,0.496678,0.06967,0.051694279
0.025,0,0.494464,0.012051,0.017396542
0.005,0.005,0.494774,0.01469,0.011069552
0.015,0.005,0.497364,0.148691,0.137607419
0.015,0,0.494143,0.011449,0.018882362
0.01,0,0.494906,0.018251,0.017107253
0.01,0.01,0.494923,0.01451,0.015800057
0.27,0.295,0.497672,0.153391,0.182519986
0.025,0,0.495271,0.020902,0.050489024
0,0,0.494713,0.018729,0.016624687
0.01,0.02,0.495698,0.029989,0.025137483
0.02,0.04,0.49565,0.022576,0.025132581
0,0,0.493972,0.010808,0.007619108
0,0,0.494598,0.012045,0.009992007
0.03,0.005,0.495492,0.031543,0.037733631
0,0.015,0.494949,0.013497,0.0135964
0.005,0.005,0.494271,0.01183,0.01453582
0.08,0.04,0.497259,0.1033,0.08572155
0,0.005,0.493837,0.009413,0.011146486
0.09,0.21,0.495301,0.056973,0.092068204
0.015,0.015,0.495058,0.023264,0.030069625
0.39,0.335,0.497529,0.232153,0.369867232
0.025,0.01,0.495085,0.018431,0.01879872
0.045,0.055,0.49631,0.049286,0.035919368
